"Cod birou electoral",Județ,Uat,Siruta,Localitate,Secție,Nr,Tip,Versiune,a,b,b1,b2,b3,c,d,e,f,g1,g2
48,STRĂINĂTATE,ITALIA,9999,MONDOVI,MONDOVI,415,"Alegeri Prezidentiale",1,0,393,0,393,0,393,0,5000,4607,353,40
48,STRĂINĂTATE,ITALIA,9999,NOVARA,NOVARA,421,"Alegeri Prezidentiale",1,0,945,0,945,0,939,6,5002,4057,853,86
48,STRĂINĂTATE,ITALIA,9999,SANREMO,SANREMO,425,"Alegeri Prezidentiale",1,0,640,0,640,0,637,3,5000,4360,589,48
48,STRĂINĂTATE,ITALIA,9999,SAVONA,SAVONA,427,"Alegeri Prezidentiale",1,0,338,0,338,0,335,3,5000,4662,306,29
48,STRĂINĂTATE,IRAK,9999,BAGDAD,BAGDAD,429,"Alegeri Prezidentiale",1,0,21,0,21,0,17,4,149,128,14,3
48,STRĂINĂTATE,IRAK,9999,ERBIL,ERBIL,430,"Alegeri Prezidentiale",1,0,35,0,35,0,34,1,150,115,26,8
48,STRĂINĂTATE,IRAN,9999,TEHERAN,TEHERAN,431,"Alegeri Prezidentiale",1,0,31,0,31,0,31,0,200,169,27,4
48,STRĂINĂTATE,JAPONIA,9999,TOKYO,TOKYO,432,"Alegeri Prezidentiale",1,0,281,0,281,0,277,4,800,519,261,16
48,STRĂINĂTATE,KAZAHSTAN,9999,NUR-SULTAN,NUR-SULTAN,433,"Alegeri Prezidentiale",1,0,23,0,23,0,23,0,200,177,20,3
48,STRĂINĂTATE,KENYA,9999,NAIROBI,NAIROBI,434,"Alegeri Prezidentiale",1,0,34,0,34,0,34,0,201,167,32,2
48,STRĂINĂTATE,KUWEIT,9999,KUWEIT,KUWEIT,435,"Alegeri Prezidentiale",1,0,248,0,248,0,246,2,800,552,220,26
48,STRĂINĂTATE,LIBAN,9999,BEIRUT,BEIRUT,436,"Alegeri Prezidentiale",1,0,157,0,157,0,155,2,500,343,135,20
48,STRĂINĂTATE,LITUANIA,9999,VILNIUS,VILNIUS,437,"Alegeri Prezidentiale",1,0,85,0,85,0,83,2,501,416,73,10
48,STRĂINĂTATE,LETONIA,9999,RIGA,RIGA,438,"Alegeri Prezidentiale",1,0,87,0,87,0,87,0,499,412,80,7
48,STRĂINĂTATE,"MACEDONIA DE NORD",9999,SKOPJE,SKOPJE,442,"Alegeri Prezidentiale",1,0,56,0,56,0,53,3,400,344,45,8
48,STRĂINĂTATE,MALAEZIA,9999,"KUALA LUMPUR","KUALA LUMPUR",443,"Alegeri Prezidentiale",1,0,90,0,90,0,90,0,500,410,83,7
48,STRĂINĂTATE,"REPUBLICA MALI",9999,GAO,GAO,444,"Alegeri Prezidentiale",1,0,115,0,115,0,111,4,400,285,95,16
48,STRĂINĂTATE,MAROC,9999,RABAT,RABAT,446,"Alegeri Prezidentiale",1,0,121,0,121,0,118,3,800,679,100,18
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,CHIȘINĂU,CHIȘINĂU,448,"Alegeri Prezidentiale",1,0,4610,0,4610,0,4596,14,6000,1390,4376,220
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,CHIȘINĂU,CHIȘINĂU,450,"Alegeri Prezidentiale",1,0,2108,0,2108,0,2103,5,4000,1892,2051,52
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,CHIȘINĂU,CHIȘINĂU,452,"Alegeri Prezidentiale",1,0,1861,0,1861,0,1851,10,6001,4140,1764,87
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,CHIȘINĂU,CHIȘINĂU,453,"Alegeri Prezidentiale",1,0,1915,0,1915,0,1909,6,5000,3085,1861,48
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,CHIȘINĂU,CHIȘINĂU,454,"Alegeri Prezidentiale",1,0,2251,0,2251,0,2248,3,5000,2749,2170,78
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,CHIȘINĂU,CHIȘINĂU,455,"Alegeri Prezidentiale",1,0,1306,0,1306,0,1305,1,4000,2694,1265,40
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,CHIȘINĂU,CHIȘINĂU,456,"Alegeri Prezidentiale",1,0,1057,0,1057,0,1052,5,4000,2943,1018,34
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,CHIȘINĂU,CHIȘINĂU,457,"Alegeri Prezidentiale",1,0,2013,0,2013,0,2011,2,5000,2987,1956,55
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,CHIȘINĂU,CHIȘINĂU,458,"Alegeri Prezidentiale",1,0,1282,0,1282,0,1279,3,5000,3718,1232,47
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,CHIȘINĂU,CHIȘINĂU,459,"Alegeri Prezidentiale",1,0,762,0,762,0,761,1,5000,4238,740,21
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,HÎNCEȘTI,HÎNCEȘTI,460,"Alegeri Prezidentiale",1,0,1435,0,1435,0,1431,4,5000,3565,1386,45
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,IALOVENI,IALOVENI,461,"Alegeri Prezidentiale",1,0,2727,0,2727,0,2722,5,7000,4273,2637,85
